,idiom,pinyin,explanation
2200,微言大义,"['wei', 'yan', 'da', 'yi']",微言精当而含义深远的话；大义本指经书的要义，后指大道理。包含在精微语言里的深刻的道理。
2201,眉飞色舞,"['mei', 'fei', 'se', 'wu']",色脸色。形容人得意兴奋的样子。
2202,做贼心虚,"['zuo', 'zei', 'xin', 'xu']",虚怕。指做了坏事怕人知道，心里老是不安。
2203,连绵不断,"['lian', 'mian', 'bu', 'duan']",连绵连续不断的样子。形容连续不止，从不中断。
2204,匹夫有责,"['pi', 'fu', 'you', 'ze']",国家大事每个人都有责任。
2205,重于泰山,"['zhong', 'yu', 'tai', 'shan']",比泰山还要重。形容意义重大。
2206,视死如归,"['shi', 'si', 'ru', 'gui']",把死看得象回家一样平常。形容不怕牺牲生命。
2207,不怀好意,"['bu', 'huai', 'hao', 'yi']",怀包藏。没安好心。
2208,入木三分,"['ru', 'mu', 'san', 'fen']",相传王羲之在木板上写字，木工刻时，发现字迹透入木板三分深。形容书法极有笔力。现多比喻分析问题很深刻。
2209,忘乎所以,"['wang', 'hu', 'suo', 'yi']",指因过分兴奋或得意而忘了应有的举止。
2210,众人拾柴火焰高,"['zhong', 'ren', 'shi', 'chai', 'huo', 'yan', 'gao']",比喻人多力量大。
2211,扫地出门,"['sao', 'di', 'chu', 'men']",比喻将坏东西彻底清除出去。也没收全部财产，赶出家门。
2212,老调重弹,"['lao', 'diao', 'zhong', 'dan']",比喻把说过多次的理论、主张重新搬出来。也比喻把搁置很久的技艺重新做起来。亦作旧调重弹”、重弹老调”。
2213,授业解惑,"['shou', 'ye', 'jie', 'huo']",授教，传授。惑疑难。传授学业，解除疑难。
2214,一股脑儿,"['yi', 'gu', 'nao', 'er']",通通。
2215,多事之秋,"['duo', 'shi', 'zhi', 'qiu']",多事事故或事变多；秋时期。事故或事变很多的时期。
2216,短小精悍,"['duan', 'xiao', 'jing', 'han']",形容人身躯短小，精明强悍。也形容文章或发言简短而有力。
2217,碌碌无为,"['lu', 'lu', 'wu', 'wei']",平平庸庸，无所作为。
2218,痴人说梦,"['chi', 'ren', 'shuo', 'meng']",痴傻。原指对痴人说梦话而痴人信以为真。比喻凭借荒唐的想象胡言乱语。
2219,无关痛痒,"['wu', 'guan', 'tong', 'yang']",痛痒比喻疾苦或紧要的事。指与自身利害没有关系或无足轻重。
2220,劫后余生,"['jie', 'hou', 'yu', 'sheng']",劫灾难；余生侥幸保全的生命。经历灾难以后幸存下来的生命。
2221,抑扬顿挫,"['yi', 'yang', 'dun', 'cuo']",抑降低；扬升高；顿停顿；挫转折。指声音的高低起伏和停顿转折。
2222,不可限量,"['bu', 'ke', 'xian', 'liang']",限量限定止境、数量。形容前程远大。
2223,掌上明珠,"['zhang', 'shang', 'ming', 'zhu']",比喻接受父母疼爱的儿女，特指女儿。
2224,大处着眼,"['da', 'chu', 'zhuo', 'yan']",从大的方面观察、思考问题，抓住主要矛盾。
2225,岿然不动,"['kui', 'ran', 'bu', 'dong']",岿然高峻独立的样子。象高山一样挺立着一动不动。形容高大坚固，不能动摇。
2226,水漫金山,"['shui', 'man', 'jin', 'shan']",神话故事。金山，在江苏省镇江市。
2227,牵肠挂肚,"['qian', 'chang', 'gua', 'du']",牵拉。形容十分惦念，放心不下。
2228,登峰造极,"['deng', 'feng', 'zao', 'ji']",登上；峰山顶；造到达；极最高点。比喻学问、技能等达到最高的境界或成就。
2229,度日如年,"['du', 'ri', 'ru', 'nian']",过一天象过一年那样长。形容日子很不好过。
2230,浩如烟海,"['hao', 'ru', 'yan', 'hai']",浩广大；烟海茫茫大海。形容典籍、图书等极为丰富。
2231,大公无私,"['da', 'gong', 'wu', 'si']",指办事公正，没有私心。现多指从集体利益出发，毫无个人打算。
2232,别有洞天,"['bie', 'you', 'dong', 'tian']",洞中另有一个天地。形容风景奇特，引人入胜。
2233,变化多端,"['bian', 'hua', 'duo', 'duan']",端头绪。形容变化极多。也指变化很大。
2234,霸王别姬,"['ba', 'wang', 'bie', 'ji']",姬指西楚霸王项羽的宠妾虞姬。形容英雄末路的悲壮情景。现多比喻独断专行，脱离群众，最终垮台。
2235,字正腔圆,"['zi', 'zheng', 'qiang', 'yuan']",形容吐字准确，唱腔圆熟。
2236,天旋地转,"['tian', 'xuan', 'di', 'zhuan']",天地转动。比喻重大的变化。也形容眩晕时的感觉或闹得极凶。
2237,防患未然,"['fang', 'huan', 'wei', 'ran']",患灾祸；未然没有这样，指尚未形成。防止事故或祸害于尚未发生之前。
2238,九死一生,"['jiu', 'si', 'yi', 'sheng']",九表示极多。形容经历很大危险而幸存。也形容处在生死关头，情况十分危急。
2239,惊世骇俗,"['jing', 'shi', 'hai', 'su']",世、俗指一般人。使一般人感到惊骇。
2240,药到病除,"['yao', 'dao', 'bing', 'chu']",药一服下病就好了。形容用药效果非趁。
2241,曲径通幽,"['qu', 'jing', 'tong', 'you']",曲弯曲；径小路；幽指深远僻静之处。弯曲的小路，通到幽深僻静的地方。
2242,半路出家,"['ban', 'lu', 'chu', 'jia']",原指成年后才出家做和尚或尼姑。比喻中途改行，从事另一工作。
2243,芸芸众生,"['yun', 'yun', 'zhong', 'sheng']",芸芸形容众多；众生原指一切生物，后指许多人。原指世间的一切生灵◇多指大群无知无识的人。
2244,反复推敲,"['fan', 'fu', 'tui', 'qiao']",多次捉摸，选择最佳方案。
2245,生龙活虎,"['sheng', 'long', 'huo', 'hu']",形容活泼矫健，富有生气。
2246,登堂入室,"['deng', 'tang', 'ru', 'shi']",堂、室古代宫室，前面是堂，后面是室。登上厅堂，进入内室。比喻学问或技能从浅到深，达到很高的水平。
2247,一马平川,"['yi', 'ma', 'ping', 'chuan']",平川地势平坦的地方。能够纵马疾驰的一片广阔平地。指广阔的平原。
2248,踉踉跄跄,"['liang', 'liang', 'qiang', 'qiang']",踉跄走路不稳。走路歪歪斜斜的样子。
2249,大难不死,"['da', 'nan', 'bu', 'si']",难灾祸。遇到巨大的灾难而没有死掉。形容幸运地脱险。
2250,一本万利,"['yi', 'ben', 'wan', 'li']",本钱小，利润大。
2251,心悦诚服,"['xin', 'yue', 'cheng', 'fu']",悦愉快，高兴；诚硬实。由衷地高兴，真心地服气。指真心地服气或服从。
2252,人间天堂,"['ren', 'jian', 'tian', 'tang']",指人世间极美好的地方。
2253,野心勃勃,"['ye', 'xin', 'bo', 'bo']",勃勃旺盛的样子。形容野心非常大。
2254,斗志昂扬,"['dou', 'zhi', 'ang', 'yang']",昂扬情绪高涨。斗争的意志旺盛。
2255,假公济私,"['jia', 'gong', 'ji', 'si']",假借；济帮助。假借公家的名义，谋取私人的利益。
2256,春华秋实,"['chun', 'hua', 'qiu', 'shi']",华花。春天开花，秋天结果。比喻人的文采和德行。现也比喻学习有成果。
2257,后患无穷,"['hou', 'huan', 'wu', 'qiong']",以后的祸害没有个完。
2258,独来独往,"['du', 'lai', 'du', 'wang']",独身往来，不与人为伍。比喻事事不与人相同。
2259,不可偏废,"['bu', 'ke', 'pian', 'fei']",偏废侧重一方，忽略另一方。指两方面都应同样重视，不能片面地强调一个方面，而忽视另一个方面。
2260,阳春白雪,"['yang', 'chun', 'bai', 'xue']",原指战国时代楚国的一种较高级的歌曲。比喻高深的不通俗的文学艺术。
2261,旁征博引,"['pang', 'zheng', 'bo', 'yin']",旁广泛；征寻求；博广博；引引证。指说话、写文章引用材料作为依据或例证。
2262,九牛二虎之力,"['jiu', 'niu', 'er', 'hu', 'zhi', 'li']",比喻很大的力气。常用于很费力才做成一件事的场合。
2263,一年半载,"['yi', 'nian', 'ban', 'zai']",一年半年。泛指一段时间。
2264,饥寒交迫,"['ji', 'han', 'jiao', 'po']",交一起，同时。衣食无着，又饿又冷。形容生活极端贫困。
2265,欺上瞒下,"['qi', 'shang', 'man', 'xia']",对上欺骗，博取信任；对下隐瞒，掩盖真相。
2266,骑虎难下,"['qi', 'hu', 'nan', 'xia']",骑在老虎背上不能下来。比喻做一件事情进行下去有困难，但情况又不允许中途停止，陷于进退两难的境地。
2267,装模作样,"['zhuang', 'mu', 'zuo', 'yang']",样模样、姿态。指故意做作，故做姿态。
2268,举目无亲,"['ju', 'mu', 'wu', 'qin']",抬起眼睛，看不见一个亲人。比喻单身在外，人地生疏。
2269,挥金如土,"['hui', 'jin', 'ru', 'tu']",挥散。把钱财当成泥土一样挥霍。形容极端挥霍浪费。
2270,畏首畏尾,"['wei', 'shou', 'wei', 'wei']",畏怕，惧。前也怕，后也怕。比喻做事胆子小，顾虑多。
2271,无地自容,"['wu', 'di', 'zi', 'rong']",没有地方可以让自己容身。形容非常羞愧。
2272,投桃报李,"['tou', 'tao', 'bao', 'li']",意思是他送给我桃儿，我以李子回赠他。比喻友好往来或互相赠送东西。
2273,原形毕露,"['yuan', 'xing', 'bi', 'lu']",原形原来的形状；毕完全。本来面目完全暴露。指伪装被彻底揭开。
2274,眼高手低,"['yan', 'gao', 'shou', 'di']",眼力过高，手法过低。指要求的标准很高（甚至不切实际），但实际上自己也做不到。
2275,断壁残垣,"['duan', 'bi', 'can', 'yuan']",残垣倒了的短墙。残存和坍塌了的墙壁。形容残败的景象。
2276,天之骄子,"['tian', 'zhi', 'jiao', 'zi']",骄子父母溺爱骄纵的儿子。老天爷的宠儿。原指强盛的北方民族胡人，后也指为父母溺爱、放肆不受管束的儿子。
2277,欲盖弥彰,"['yu', 'gai', 'mi', 'zhang']",盖遮掩；弥更加；彰明显。想掩盖坏事的真相，结果反而更明显地暴露出来。
2278,栋梁之才,"['dong', 'liang', 'zhi', 'cai']",比喻能担当大事的人才。
2279,肆意妄为,"['si', 'yi', 'wang', 'wei']",妄胡乱，非分的，出了常规的。妄为胡作非为。指不顾一切由着自己的性子胡作非为。亦作肆意妄行”。
2280,强词夺理,"['qiang', 'ci', 'duo', 'li']",强词强辩；夺争。指无理强辩，明明没理硬说有理。
2281,不二法门,"['bu', 'er', 'fa', 'men']",不二指不是两极端；法门佧行入道的门径。原为佛家语，意为直接入道，不可言传的法门◇比喻最好的或独一无二的方法。
2282,损人利己,"['sun', 'ren', 'li', 'ji']",损害别人，使自己得到好处。
2283,厚此薄彼,"['hou', 'ci', 'bo', 'bi']",重视或优待一方，轻视或怠慢另一方。比喻对两方面的待遇不同。
2284,内外交困,"['nei', 'wai', 'jiao', 'kun']",交同时；困困境。里里外外都处于困难的境地。
2285,以邻为壑,"['yi', 'lin', 'wei', 'he']",拿邻国当做大水坑，把本国的洪水排泄到那里去。比喻只图自己一方的利益，把困难或祸害转嫁给别人。
2286,郑重其事,"['zheng', 'zhong', 'qi', 'shi']",郑重审慎，严肃认真。形容说话做事时态度非常严肃认真。
2287,光怪陆离,"['guang', 'guai', 'lu', 'li']",光怪光彩奇异；陆离开卷参差。形容奇形怪状，五颜六色。
2288,恶意中伤,"['e', 'yi', 'zhong', 'shang']",出自恶毒用心去诽谤诬陷伤害别人，中伤说坏话攻击陷害别人。
2289,天上人间,"['tian', 'shang', 'ren', 'jian']",一个在天上，一个在人间。多比喻境遇完全不同。
2290,精诚团结,"['jing', 'cheng', 'tuan', 'jie']",精诚真诚。一心一意，团结一致。
2291,夙夜在公,"['su', 'ye', 'zai', 'gong']",从早到晚，勤于公务。
2292,访贫问苦,"['fang', 'pin', 'wen', 'ku']",访问贫苦的老百姓。
2293,有生力量,"['you', 'sheng', 'li', 'liang']",①原指军队中的兵员和马匹。亦泛指有战斗力的部队。②指充满活力的力量。
2294,一锤子买卖,"['yi', 'chui', 'zi', 'mai', 'mai']",只做一次生意。
2295,过目不忘,"['guo', 'mu', 'bu', 'wang']",看过就不忘记。形容记忆力非常强。
2296,近水楼台先得月,"['jin', 'shui', 'lou', 'tai', 'xian', 'de', 'yue']",水边的楼台先得到月光。比喻由于接近某些人或事物而抢先得到某种利益或便利。
2297,喧宾夺主,"['xuan', 'bin', 'duo', 'zhu']",喧声音大。客人的声音压倒了主人的声音。比喻外来的或次要的事物占据了原有的或主要的事物的位置。
2298,病从口入,"['bing', 'cong', 'kou', 'ru']",疾病多是由食物传染。比喻应该注意饮食卫生。
2299,懵懵懂懂,"['meng', 'meng', 'dong', 'dong']",糊里糊涂，什么也不知道。
2300,旧病复发,"['jiu', 'bing', 'fu', 'fa']",原来的病又犯了。
2301,深谋远虑,"['shen', 'mou', 'yuan', 'lv']",指计划得很周密，考虑得很长远。
2302,花好月圆,"['hua', 'hao', 'yue', 'yuan']",花儿正盛开，月亮正圆满。比喻美好圆满。多用于棕人新婚。
2303,不知所云,"['bu', 'zhi', 'suo', 'yun']",云说。不知道说得是些么。形容说话内容混乱，无法理解。
2304,交头接耳,"['jiao', 'tou', 'jie', 'er']",交头头靠着头；接耳嘴凑近耳朵。形容两个人凑近低声交谈。
2305,出神入化,"['chu', 'shen', 'ru', 'hua']",神、化指神妙的境域。极其高超的境界。形容文学艺术达到极高的成就。
2306,强加于人,"['qiang', 'jia', 'yu', 'ren']",把一个人或一方的意见、看法勉强加诸于别人。
2307,春风得意,"['chun', 'feng', 'de', 'yi']",得意扬扬自得的样子。旧时形容考中进士后的兴奋心情◇形容职位升迁顺利。
2308,颐指气使,"['yi', 'zhi', 'qi', 'shi']",颐指动下巴示意，指挥别人；气使用神情气色支使人。不说话而用面部表示表情示意。形容有权势的人指挥别人的傲慢态度。
2309,陈词滥调,"['chen', 'ci', 'lan', 'diao']",陈陈旧，陈腐；滥浮泛不合实际。指陈腐、空泛的论调。
2310,东奔西走,"['dong', 'ben', 'xi', 'zou']",到处奔波。多指为生活所迫或为某一目的四处奔走活动。
2311,穷困潦倒,"['qiong', 'kun', 'liao', 'dao']",穷困贫穷、困难；潦倒失意。生活贫困，失意颓丧。
2312,不可一世,"['bu', 'ke', 'yi', 'shi']",一世一时。认为当代的人都不行。形容目空一切、狂妄自大到了极点。
2313,神乎其神,"['shen', 'hu', 'qi', 'shen']",神神妙；乎语助词，表感叹。神秘奇妙到了极点。形容非常奇妙神秘。
2314,抚今追昔,"['fu', 'jin', 'zhui', 'xi']",抚拍，摸，引伸为注意，注视；追回想；昔过去。看看现在，想想过去。
2315,长袖善舞,"['chang', 'xiu', 'shan', 'wu']",袖子长，有利于起舞。原指有所依靠，事情就容易成功◇形容有财势会耍手腕的人，善于钻营，会走门路。
2316,表里如一,"['biao', 'li', 'ru', 'yi']",表外表；里内心。表面和内心象一个东西。形容言行和思想完全一致。
2317,寅吃卯粮,"['yin', 'chi', 'mao', 'liang']",这一年吃了下一年的粮。比喻经济困难，收入不够支出，预先支用了以后的进项。比喻指经济困难，入不敷出。
2318,例行公事,"['li', 'xing', 'gong', 'shi']",按照惯例办理的公事。现在多指刻板的形式主义的工作。
2319,寒冬腊月,"['han', 'dong', 'la', 'yue']",腊月农历十二月。指冬季最寒冷的腊月天。
2320,刨根问底,"['pao', 'gen', 'wen', 'di']",比喻追究底细。
2321,自得其乐,"['zi', 'de', 'qi', 'le']",自己能从中得到乐趣。
2322,捏一把汗,"['nie', 'yi', 'ba', 'han']",因担心而手上出汗。形容非常紧张的心情。
2323,六神无主,"['liu', 'shen', 'wu', 'zhu']",六神道家认为人的心、肺、肝、肾、脾、胆各有神灵主宰，称为六神。形容惊慌着急，没了主意，不知如何才好。
2324,躲躲闪闪,"['duo', 'duo', 'shan', 'shan']",躲避闪开，以免遇到某些情况。亦形容遮遮盖盖，支支吾吾，不坦率，不直爽。
2325,半夜三更,"['ban', 'ye', 'san', 'geng']",一夜分为五更，三更是午夜十二时。指深夜。
2326,冷眼旁观,"['leng', 'yan', 'pang', 'guan']",冷眼冷静或冷漠的眼光。指不参与其事，站在一旁看事情的发展。
2327,勃然大怒,"['bo', 'ran', 'da', 'nu']",勃然突然。突然变脸大发脾气。
2328,先声夺人,"['xian', 'sheng', 'duo', 'ren']",先张扬自己的声势以压倒对方。也比喻做事抢先一步。
2329,人多势众,"['ren', 'duo', 'shi', 'zhong']",声势力量大。
2330,天长地久,"['tian', 'chang', 'di', 'jiu']",跟天和地存在的时间那样长。形容时间悠久。也形容永远不变（多指爱情）。
2331,先斩后奏,"['xian', 'zhan', 'hou', 'zou']",原指臣子先把人处决了，然后再报告帝王。现比喻未经请示就先做了某事，造成既成事实，然后再向上级报告。
2332,力排众议,"['li', 'pai', 'zhong', 'yi']",力竭力；排排队；议议论、意见。竭力排除各种意议论，使自己的意见占上风。
2333,穷途末路,"['qiong', 'tu', 'mo', 'lu']",穷途处境困窘。形容到了无路可走的地步。
2334,机不可失,"['ji', 'bu', 'ke', 'shi']",机机会；时时机∶的时机不可放过，失掉了不会再来。
2335,听天由命,"['ting', 'tian', 'you', 'ming']",由听从，随顺。听任事态自然发展变化，不做主观努力。也比喻碰机会，该怎么样就怎么样。
2336,戒骄戒躁,"['jie', 'jiao', 'jie', 'zao']",戒警惕，预防。警惕并防止产生骄傲和急躁情绪。
2337,得寸进尺,"['de', 'cun', 'jin', 'chi']",得了一寸，还想再进一尺。比喻贪心不足，有了小的，又要大的。
2338,草木皆兵,"['cao', 'mu', 'jie', 'bing']",把山上的草木都当做敌兵。形容人在惊慌时疑神疑鬼。
2339,养老送终,"['yang', 'lao', 'song', 'zhong']",指子女对父母身前的赡养和死后的殡葬。
2340,众口一词,"['zhong', 'kou', 'yi', 'ci']",所有的人都说同样的话。
2341,从长计议,"['cong', 'chang', 'ji', 'yi']",用较长的时间慎重考虑、仔细商量。
2342,得意之作,"['de', 'yi', 'zhi', 'zuo']",指自己认为非常满意的作品。
2343,恨铁不成钢,"['hen', 'tie', 'bu', 'cheng', 'gang']",形容对所期望的人不争气不上进感到不满，急切希望他变好。
2344,说一不二,"['shuo', 'yi', 'bu', 'er']",说怎么样就怎么样。形容说话算数。
2345,回天乏术,"['hui', 'tian', 'fa', 'shu']",回天比喻力量大，能移转极难挽回的时势；乏术缺少方法。比喻局势或病情严重，已无法挽救。
2346,头晕眼花,"['tou', 'yun', 'yan', 'hua']",头发昏，眼发花。
2347,地大物博,"['di', 'da', 'wu', 'bo']",博丰富。指国家疆土辽阔，资源丰富。
2348,慎终追远,"['shen', 'zhong', 'zhui', 'yuan']",终人死；远指祖先。旧指慎重地办理父母丧事，虔诚地祭祀远代祖先◇也指谨慎从事，追念前贤。
2349,笑容可掬,"['xiao', 'rong', 'ke', 'ju']",掬双手捧取。形容笑容满面。
2350,功德无量,"['gong', 'de', 'wu', 'liang']",功德功业和德行；无量无法计算。旧时指功劳恩德非常大。现多用来称赞做了好事。
2351,虚无缥缈,"['xu', 'wu', 'piao', 'miao']",虚无空虚；缥缈隐隐约约，若有若无的样子。形容空虚渺茫。
2352,官官相护,"['guan', 'guan', 'xiang', 'hu']",指官员之间互相包庇。
2353,四平八稳,"['si', 'ping', 'ba', 'wen']",原形容身体各部位匀称、结实◇常形容说话做事稳当。也形容做事只求不出差错，缺乏积极创新精神。
2354,有生以来,"['you', 'sheng', 'yi', 'lai']",从出生到现在。
2355,善罢甘休,"['shan', 'ba', 'gan', 'xiu']",轻易地了结纠纷，心甘情愿地停止再闹。
2356,开疆拓土,"['kai', 'jiang', 'tuo', 'tu']",开拓疆域，扩展领土。
2357,金蝉脱壳,"['jin', 'chan', 'tuo', 'qiao']",蝉变为成虫时要脱去一层壳。比喻用计脱身，使人不能及时发觉。
2358,过五关斩六将,"['guo', 'wu', 'guan', 'zhan', 'liu', 'jiang']",比喻克服重重困难。这是《三国演义》中描写关羽的故事。
2359,大言不惭,"['da', 'yan', 'bu', 'can']",说大话，不感到难为情。
2360,天真烂漫,"['tian', 'zhen', 'lan', 'man']",天真指心地单纯，没有做作和虚伪；烂漫坦率自然的样子。形容儿童思想单纯、活泼可爱，没有做作和虚伪。
2361,山穷水尽,"['shan', 'qiong', 'shui', 'jin']",山和水都到了尽头。比喻无路可走陷入绝境。
2362,软弱无力,"['ruan', 'ruo', 'wu', 'li']",形容身体衰弱无气力。也可比喻处事不得力，不中用。
2363,丰衣足食,"['feng', 'yi', 'zu', 'shi']",足够。穿的吃的都很丰富充足。形容生活富裕。
2364,荒无人烟,"['huang', 'wu', 'ren', 'yan']",人烟指住户、居民，因有炊烟的地方就有人居住。形容地方偏僻荒凉，见不到人家。
2365,概莫能外,"['gai', 'mo', 'neng', 'wai']",概全。一概不能除外。指都在所指范围之内。
2366,爱莫能助,"['ai', 'mo', 'neng', 'zhu']",爱爱惜；莫不。虽然心中关切同情，却没有力量帮助。
2367,忧国忧民,"['you', 'guo', 'you', 'min']",为国家的前途和人民的命运而担忧。
2368,咄咄怪事,"['duo', 'duo', 'guai', 'shi']",表示吃惊的声音。形容不合常理，难以理解的怪事。
2369,一碗水端平,"['yi', 'wan', 'shui', 'duan', 'ping']",比喻处理事情公正，不偏袒任何一方。
2370,璀璨夺目,"['cui', 'can', 'duo', 'mu']",璀璨美玉发光。光辉灿烂耀人眼睛。
2371,暴风骤雨,"['bao', 'feng', 'zhou', 'yu']",暴、骤急速，突然。又猛又急的大风雨。比喻声势浩大，发展急速而猛烈。
2372,说来说去,"['shuo', 'lai', 'shuo', 'qu']",①反复阐说。②犹言总而言之。
2373,感激不尽,"['gan', 'ji', 'bu', 'jin']",感激的心情没有穷尽。形容非常感激。
2374,血雨腥风,"['xue', 'yu', 'xing', 'feng']",风里夹着腥味，雨点带着鲜血。形容疯狂杀戮的凶险气氛或环境。
2375,始作俑者,"['shi', 'zuo', 'yong', 'zhe']",俑古代殉葬用的木制或陶制的俑人。开始制作俑的人。比喻首先做某件坏事的人。
2376,醉翁之意不在酒,"['zui', 'weng', 'zhi', 'yi', 'bu', 'zai', 'jiu']",原是作者自说在亭子里真意不在喝酒，而在于欣赏山里的风景◇用来表示本意不在此而在别的方面。
2377,张牙舞爪,"['zhang', 'ya', 'wu', 'zhao']",张张开；舞挥舞。形容猛兽凶恶可怕。也比喻猖狂凶恶。
2378,丧尽天良,"['sang', 'jin', 'tian', 'liang']",丧丧失；天良良心。没有一点良心。形容恶毒到了极点。
2379,望闻问切,"['wang', 'wen', 'wen', 'qie']",中医用语。望，指观气色；闻，指听声息；问；指询问症状；切；指摸脉象∠称四诊。
2380,自不待言,"['zi', 'bu', 'dai', 'yan']",大家心里明白，不必再用言语解释。
2381,崇洋媚外,"['chong', 'yang', 'mei', 'wai']",洋西洋，指西方国家；媚谄媚。崇拜西方一切，谄媚外国人。指丧失民族自尊心，一味奉承巴结外国人。
2382,升官发财,"['sheng', 'guan', 'fa', 'cai']",指提升了官职，同时就能获得更多的物质财富。
2383,平白无故,"['ping', 'bai', 'wu', 'gu']",平白凭空；故缘故。指无缘无故。
2384,兼容并包,"['jian', 'rong', 'bing', 'bao']",容容纳；包包含。把各个方面全都容纳包括进来。
2385,心神不宁,"['xin', 'shen', 'bu', 'ning']",定安定。形容心情不平静。
2386,不冷不热,"['bu', 'leng', 'bu', 're']",指温度不高不低，冷热适中。亦比喻对人态度一般。
2387,勉为其难,"['mian', 'wei', 'qi', 'nan']",勉勉强；为做。勉强去做能力所不及或不愿去做的事。
2388,日夜兼程,"['ri', 'ye', 'jian', 'cheng']",不分白天黑夜拼命赶路。
2389,连篇累牍,"['lian', 'pian', 'lei', 'du']",累重叠；牍古代写字的木片。形容篇幅过多，文辞冗长。
2390,纵横捭阖,"['zong', 'heng', 'bai', 'he']",纵横合纵连横；捭阖开合，战国时策士游说的一种方法。指在政治或外交上运用手段进行分化或拉拢。
2391,扶正祛邪,"['fu', 'zheng', 'qu', 'xie']",祛去除。扶持正气，去除邪气。现用来指扶持好的事物，纠正错误倾向。
2392,舍本逐末,"['she', 'ben', 'zhu', 'mo']",舍舍弃；逐追求。抛弃根本的、主要的，而去追求枝节的、次要的。比喻不抓根本环节，而只在枝节问题上下功夫。
2393,贪得无厌,"['tan', 'de', 'wu', 'yan']",厌满足。贪心永远没有满足的时候。
2394,深居简出,"['shen', 'ju', 'jian', 'chu']",简简省。原指野兽藏在深密的地方，很少出现◇指常呆在家里，很少出门。
2395,浑浑噩噩,"['hun', 'hun', 'e', 'e']",浑浑深厚的样子；噩噩严肃的样子。原意是浑厚而严正。现形容糊里糊涂，愚昧无知。
2396,另眼相看,"['ling', 'yan', 'xiang', 'kan']",用另一种眼光看待。指看待某个人不同一般。也指不被重视的人得到重视。
2397,酩酊大醉,"['ming', 'ding', 'da', 'zui']",酩酊沉醉的样子。形容醉得很厉害。
2398,沽名钓誉,"['gu', 'ming', 'diao', 'yu']",沽买；钓用饵引鱼上钩，比喻骗取。用某种不正当的手段捞取名誉。
2399,反复无常,"['fan', 'fu', 'wu', 'chang']",无常变化不定。形容常常变化，一会儿是这样，一会儿又是那样，变动不定。
2400,鹤立鸡群,"['he', 'li', 'ji', 'qun']",象鹤站在鸡群中一样。比喻一个人的仪表或才能在周围一群人里显得很突出。
2401,求之不得,"['qiu', 'zhi', 'bu', 'de']",想找都找不到。原指急切企求，但不能得到◇多形容迫切希望得到。
2402,当头棒喝,"['dang', 'tou', 'bang', 'he']",佛教禅宗和尚接待初学的人常常用棒一击或大喝一声，促他醒悟。比喻严厉警告，促使人猛醒过来。
2403,比翼齐飞,"['bi', 'yi', 'qi', 'fei']",比翼翅膀挨着翅膀。齐飞成双的并飞。比喻夫妻情投意合，在事业上并肩前进。
2404,飞黄腾达,"['fei', 'huang', 'teng', 'da']",飞黄传说中神马名；腾达上升，引伸为发迹，宦途得意。形容骏马奔腾飞驰。比喻骤然得志，官职升得很快。
2405,百尺竿头,"['bai', 'chi', 'gan', 'tou']",桅杆或杂技长竿的顶端。比喻极高的官位和功名，或学问、事业有很高的成就。
2406,惶恐不安,"['huang', 'kong', 'bu', 'an']",惶恐惧。内心害怕，十分不安。
2407,知难而进,"['zhi', 'nan', 'er', 'jin']",迎着困难上。
2408,口出狂言,"['kou', 'chu', 'kuang', 'yan']",嘴里说出狂妄自大的话。指说话狂妄、放肆。也指胡说八道。
2409,伸手不见五指,"['shen', 'shou', 'bu', 'jian', 'wu', 'zhi']",形容光线非常暗，看不见四周围的事物。
2410,杀鸡取卵,"['sha', 'ji', 'qu', 'luan']",卵蛋。为了要得到鸡蛋，不惜把鸡杀了。比喻贪图眼前的好处而不顾长远利益。
2411,蜂拥而来,"['feng', 'yong', 'er', 'lai']",象蜂群似的拥挤着过来。形容许多人一起过来。
2412,哭哭啼啼,"['ku', 'ku', 'ti', 'ti']",不停的哭泣。
2413,盛极一时,"['sheng', 'ji', 'yi', 'shi']",形容一时特别兴盛或流行。
2414,误打误撞,"['wu', 'da', 'wu', 'zhuang']",指事先未经周密考虑。
2415,婀娜多姿,"['e', 'nuo', 'duo', 'zi']",形容姿态柔和而美好。
2416,惶惶不可终日,"['huang', 'huang', 'bu', 'ke', 'zhong', 'ri']",惊慌地连一天都过不下去。形容惊恐不安到了极点。
2417,死去活来,"['si', 'qu', 'huo', 'lai']",指因极度的疼痛或悲哀，晕过去，又醒过来。多形容被打得很惨，或哭得很厉害。
2418,经年累月,"['jing', 'nian', 'lei', 'yue']",经经历。指经过很久的时间；长时间。
2419,齐心合力,"['qi', 'xin', 'he', 'li']",形容认识一致，共同努力。
2420,耳闻目睹,"['er', 'wen', 'mu', 'du']",闻听见；睹看见。亲耳听到，亲眼看见。
2421,驰名中外,"['chi', 'ming', 'zhong', 'wai']",驰传播。形容名声传播得极远。
2422,嫌贫爱富,"['xian', 'pin', 'ai', 'fu']",嫌弃贫穷，喜爱富有。指对人的好恶以其贫富为准。
2423,宁缺毋滥,"['ning', 'que', 'wu', 'lan']",宁宁愿；毋不；滥过度。盐人才或挑选事物，宁可少一些，也不要不顾质量贪多凑数。
2424,心向往之,"['xin', 'xiang', 'wang', 'zhi']",对某个人或事物心里很向往。
2425,心事重重,"['xin', 'shi', 'chong', 'chong']",心里挂着很多沉重的顾虑。
