idiom,pinyin,explanation
大开眼界,dà kāi yǎn jiè,开阔视野，增回见识。
载歌载舞,zài gē zài wǔ,边唱歌，边跳舞。形容尽情欢乐。
子虚乌有,zǐ xū wū yǒu,子虚并非真实；乌有哪有。指假设的、不存在的、不真实的事情。
了如指掌,liǎo rú zhǐ zhǎng,了明白；指掌指着手掌。形容对事物了解得非常清楚，象把东西放在手掌里给人家看一样。
历历在目,lì lì zài mù,历历清楚，分明的样子。指远方的景物看得清清楚楚，或过去的事情清清楚楚地重现在眼前。
徇私枉法,xùn sī wǎng fǎ,迁就私情而违反法纪。
风云变幻,fēng yún bià huàn,象风云那样变化不定。比喻时局变化迅速，动向难以预料。
公正廉洁,gōng zhèng lián jié,指廉洁奉公，不循私情。
茁壮成长,zhuó zhuàng chéng zhǎng,健康地成长。
千丝万缕,qiān sī wàn lǚ,千条丝，万条线。原形容一根又一根，数也数不清。现多形容相互之间种种密切而复杂的联系。
一步一个脚印,yī bù yī gè jiǎo yìn,比喻做事踏实。
奋不顾身,fèn bù gù shēn,奋勇向前，不考虑个人安危。
轻描淡写,qīng miáo dàn xiě,原指描绘时用浅淡的颜色轻轻地着笔。现多指说话写文章把重要问题轻轻带过。
不解之缘,bù jiě zhī yuán,缘缘分。不可分解的缘分。比喻不能解脱的联系或关系。
有意无意,yǒu yì wú yì,又像是有意的，又像是无意的。存心与不经意。
顾名思义,gù míng sī yì,顾看；义意义，含义。从名称想到所包含的意义。
有声有色,yǒu shēng yǒu sè,形容说话或表演精彩生动。
流离失所,liú lí shī suǒ,流离转徒离散。无处安身，到处流浪。
诸如此类,zhū rú cǐ lèi,诸众多；此这，这样。象这类的各种事物。
一清二楚,yī qīng èr chǔ,十分清楚、明白。
众志成城,zhòng zhì chéng chéng,万众一心，象坚固的城墙一样不可摧毁。比喻团结一致，力量无比强大。
救死扶伤,jiù sǐ fú shāng,扶扶助，照料。抢救生命垂危的人，照顾受伤的人。现形容医务工作者全心全意为人民服务的精神。
梦寐以求,mèng mèi yǐ qiú,寐睡着。做梦的时候都在追求。形容迫切地期望着。
逍遥法外,xiāo yáo fǎ wài,逍遥优游自得的样子。指犯法的人没有受到法律制裁，仍然自由自在。
按捺不住,àn nà bù zhù,按捺压抑，忍耐。心里急燥，克制不住。
信誓旦旦,xìn shì dàn dàn,信誓表示诚意的誓言；旦旦诚恳的样子。誓言说得真实可信。
不计其数,bù jì qí shù,没法计算数目。形容很多。
缺一不可,quē yī bù kě,少一样也不行。
脱胎换骨,tuō tāi huàn gǔ,原为道教用语。指修道者得道以后，就转凡胎为圣胎，换凡骨为仙骨。现比喻通过教育，思想得到彻底改造。
真心实意,zhēn xīn shí yì,心意真实诚恳，没有虚假。
对簿公堂,duì bù gōng táng,簿文状、起诉书之类；对簿受审问；公堂旧指官吏审理案件的地方。在法庭上受审问。
不辱使命,bù rǔ shǐ mìng,指不辜负别人的差使。
狂风暴雨,kuáng fēng bào yǔ,指大风大雨。亦比喻猛烈的声势或处境险恶。
日复一日,rì fù yī rì,复再，又。过了一天又一天。比喻日子久，时间长。也形容光阴白白地过去。
白发苍苍,bái fà cāng cāng,苍苍灰白色。头发灰白。形容人的苍老。
山清水秀,shān qīng shuǐ xiù,形容风景优美。
随心所欲,suí xīn suǒ yù,随任凭；欲想要。随着自己的意思，想要干什么就干什么。
浩浩荡荡,hào hào dàng dàng,原形容水势广大的样子◇形容事物的广阔壮大，或前进的人流声势浩大。
不堪设想,bù kān shè xiǎng,未来情况不能想象。指预料事情会发展到很坏的地步。
叹为观止,tàn wéi guān zhǐ,叹赞赏；观止看到这里就够了。指赞美所见到的事物好到了极点。
不由自主,bù yóu zì zhǔ,由不得自己，控制不住自己。
天下第一,tiān xià dì yī,形容没有人能比得上。
如愿以偿,rú yuàn yǐ cháng,偿实现、满足。按所希望的那样得到满足。指愿望实现。
取长补短,qǔ cháng bǔ duǎn,吸取别人的长处，来弥补自己的不足之处。也泛指在同类事物中吸取这个的长处来弥补那个的短处。
所见所闻,suǒ jiàn suǒ wén,看到的和听到的。
近在咫尺,jìn zài zhǐ chǐ,咫尺很近的距离。形容距离很近。
一言一行,yī yán yī xíng,每句话，每个行动。
惨不忍睹,cǎn bù rěn dǔ,睹看。凄惨得叫人不忍心看。
一无所获,yī wú suǒ huò,一无全无。什么东西都没有获得。
既得利益,jì dé lì yì,指人们或集团已经获得的，法定的某种特别权益。
呼之欲出,hū zhī yù chū,呼叫，喊。形容人像画得逼真，似乎叫一声就会从画中走出来。泛指文学作品中人物的描写十分生动。
一厢情愿,yī xiāng qíng yuàn,指单方面的愿望或不考虑客观实际情况的主观意愿。同一相情愿”。
黄金时代,huáng jīn shí dài,指人一生中最为宝贵的时期。也指国家政治、经济、文化最繁荣的时期。
无与伦比,wú yǔ lún bǐ,伦比类比，匹敌。指事物非常完美，没有能跟它相比的。
无中生有,wú zhōng shēng yǒu,道家认为，天下万物生于有，有生于无。把没有的说成有。比喻毫无事实，凭空捏造。
轰动一时,hōng dòng yī shí,形容在一个时期里到处传播，影响很大。
街头巷尾,jiē tóu xiàng wěi,指大街小巷。
掷地有声,zhì dì yǒu shēng,金石钟磬之类的乐器，声音清脆优美。比喻文章文辞优美，语言铿锵有力。
戛然而止,jiá rán ér zhǐ,戛象声词。形容声音突然终止。
念念不忘,niàn niàn bù wàng,念念时刻思念着。形容牢记于心，时刻不忘。
偷工减料,tōu gōng jiǎn liào,原指商人为了牟取暴利而暗中降低产品质量，削减工料。现也指做事图省事，马虎敷衍。
津津有味,jīn jīn yǒu wèi,津津兴趣浓厚的样子。指吃得很有味道或谈得很有兴趣。
改头换面,gǎi tóu huàn miàn,原指人的容貌发生了改变。现多比喻只改外表和形式，内容实质不变。
据为己有,jù wéi jǐ yǒu,将别人的东西拿来作为自己的。
大同小异,dà tóng xiǎo yì,大体相同，略有差异。
刮目相看,guā mù xiāng kàn,指别人已有进步，不能再用老眼光去看他。
令人发指,lìng rén fà zhǐ,发指头发竖起来，形容极为愤怒。使人头发都竖起来了。形容使人极度愤怒。
目瞪口呆,mù dèng kǒu dāi,形容因吃惊或害怕而发愣的样子。
三三两两,sān sān liǎng liǎng,三个两个地在一起。形容人数不多。
雷厉风行,léi lì fēng xíng,厉猛烈。象雷那样猛烈，象风那样快。比喻执行政策法令严厉迅速。也形容办事声势猛烈，行动迅速。
风雨无阻,fēng yǔ wú zǔ,不受刮风下雨的阻碍。指预先约好的事情，一定按期进行。
江郎才尽,jiāng láng cái jìn,江郎指南朝江淹。原指江淹少有文名，晚年诗文无佳句。比喻才情减退。
美轮美奂,měi lún měi huàn,轮高大；奂众多。形容房屋高大华丽。
货真价实,huò zhēn jià shí,货物不是冒牌的，价钱也是实在的。形容实实在在，一点不假。
三令五申,sān lìng wǔ shēn,令命令；申表达，说明。多次命令和告诫。
和睦相处,hé mù xiāng chǔ,彼此和好地相处。
感慨万千,gǎn kǎi wàn qiān,因外界事物变化很大而引起许多感想、感触。
拾金不昧,shí jīn bù mèi,金原指钱财，现泛指各种贵重物品；昧隐藏。拾到东西并不隐瞒下来据为己有。指良好的仆人道德和社会风尚。
因人而异,yīn rén ér yì,因人的不同而有所差异。
一纸空文,yī zhǐ kōng wén,只是写在纸上没有兑现或不能兑现的东西。
双管齐下,shuāng guǎn qí xià,管指笔。原指手握双笔同时作画◇比喻做一件事两个方面同时进行或两种方法同时使用。
脱口而出,tuō kǒu ér chū,不经考虑，随口说出。
曾几何时,céng jǐ hé shí,曾曾经；几何若干、多少。才有多少时候。指没过多久。
逃之夭夭,táo zhī yāo yāo,本意是形容桃花茂盛艳丽◇借用逃之夭夭”表示逃跑，是诙谐的说法。
心甘情愿,xīn gān qíng yuàn,心里完全愿意，没有一点勉强。多指自愿做出某种牺牲。
一朝一夕,yī zhāo yī xī,朝早晨；夕晚上。一个早晨或一个晚上。形容很短的时间。
倾家荡产,qīng jiā dàng chǎn,倾倒出；荡扫除，弄光。全部家产都被弄光了。
有利可图,yǒu lì kě tú,图谋取。有利益可谋求。
更上一层楼,gèng shàng yī céng lóu,原意是要想看得更远，就要登得更高◇比喻使已取得的成绩再提高一步。
证据确凿,zhèng jù què záo,确凿确实。证据确实可靠，无法否认。
万众一心,wàn zhòng yī xīn,千万人一条心。形容团结一致。
古色古香,gǔ sè gǔ xiāng,形容器物书画等富有古雅的色彩和情调。
刻骨铭心,kè gǔ míng xīn,铭刻在心灵深处。形容记忆深刻，永远不忘。
东窗事发,dōng chuāng shì fā,比喻阴谋已败露。
开门见山,kāi mén jiàn shān,打开门就能看见山。比喻说话或写文章直截了当谈本题，不拐弯抹角。
蒸蒸日上,zhēng zhēng rì shàng,蒸蒸一升、兴盛的样子。形容事业一天天向上发展。
艰苦卓绝,jiān kǔ zhuó jué,卓绝极不平凡。坚忍刻苦的精神超过寻常。
承上启下,chéng shàng qǐ xià,承接上面的，引起下面的。多用在写文章方面。
振奋人心,zhèn fèn rén xīn,振奋振作奋发。使人们振作奋发。
风起云涌,fēng qǐ yún yǒng,大风刮起，乌云涌现。比喻新事物相继兴起，声势很盛。
乱七八糟,luàn qī bā zāo,形容无秩序，无条理，乱得不成样子。
浑身解数,hún shēn xiè shù,浑身全身，指所有的；解数那套数，指武艺。所有的本领，全部的权术手腕。
一意孤行,yī yì gū xíng,指不接受别人的劝告，顽固地按照自己的主观想法去做。
大有人在,dà yǒu rén zài,形容某一种人为数不少。
年复一年,nián fù yī nián,一年又一年。比喻日子久，时间长。也形容光阴白白地过去。
水土不服,shuǐ tǔ bù fú,对于一个地方的气候条件或饮食习惯不能适应。
绝无仅有,jué wú jǐn yǒu,只有一个，再没有别的。形容非常少有。
奄奄一息,yǎn yǎn yī xī,奄奄呼吸微弱的样子。只剩下一口气。形容临近死亡。
生生不息,shēng shēng bù xī,生生中国哲学术语，指变化和新生事物的发生；不已没有终止。不断地生长、繁殖。
从头到尾,cóng tóu dào wěi,从开头到结尾。指某件事物的全过程或全部内容。
迫不得已,pò bù dé yǐ,被逼得没有办法，不得不这样。
公平合理,gōng píng hé lǐ,指处理事情公正符合情理。
独善其身,dú shàn qí shēn,独唯独；善好，维护。原意是做不上官就修养好自身。现指只顾自己，不管别人。
恰到好处,qià dào hǎo chù,指说话做事恰好到了最合适的地步。
一触即发,yī chù jí fā,触碰；即就。原指把箭扣在弦上，拉开弓等着射出去。比喻事态发展到了十分紧张的阶段，稍一触动就立即会爆发。
说三道四,shuō sān dào sì,形容不负责任地胡乱议论。
不胜枚举,bù shèng méi jǔ,胜尽；枚个。不能一个个地列举出来。形容数量很多。
各抒己见,gè shū jǐ jiàn,抒抒发，发表。各人充分发表自己的意见。
意味深长,yì wèi shēn cháng,意味情调，趣味。意思含畜深远，耐人寻味。
聪明才智,cōng míng cái zhì,指有丰富敏捷的智力和显著的才能。
生死存亡,shēng sǐ cún wáng,生存或者死亡。形容局势或斗争的的发展已到最后关头。
蠢蠢欲动,chǔn chǔn yù dòng,蠢蠢爬虫蠕动的样子。比喻敌人准备进攻或坏人阴谋捣乱。
摇摇欲坠,yáo yáo yù zhuì,摇摇摇动，摇晃；坠落下。形容十分危险，很快就要掉下来，或不稳固，很快就要垮台。
世外桃源,shì wài táo yuán,原指与现实社会隔绝、生活安乐的理想境界◇也指环境幽静生活安逸的地方。借指一种空想的脱离现实斗争的美好世界。
滔滔不绝,tāo tāo bù jué,滔滔形容流水不断。象流水那样毫不间断。指话很多，说起来没个完。
欣欣向荣,xīn xīn xiàng róng,欣欣形容草木生长旺盛；荣茂盛。形容草木长得茂盛。比喻事业蓬勃发展，兴旺昌盛。
添砖加瓦,tiān zhuān jiē wǎ,比喻做一些工作，尽一点力量。
相差无几,xiāng chā wú jǐ,彼此没有多大差别。
来势汹汹,lái shì xiōng xiōng,动作或事物到来的气势很厉害。
有朝一日,yǒu zhāo yī rì,将来有那么一天。
疑难杂症,yí nán zá zhèng,难辨或难治的各种病症。比喻难以理解或解决的问题。
指日可待,zhǐ rì kě dài,指日可以指出日期，为期不远；待期待。为期不远，不久就可以实现。
每况愈下,měi kuàng yù xià,越往下越明显。表示情况越来越坏。
精打细算,jīng dǎ xì suàn,打规划。精密地计划，详细地计算。指在使用人力物力时计算得很精细。
真知灼见,zhēn zhī zhuó jiàn,灼明白，透彻。正确而透彻的见解。
遥遥无期,yáo yáo wú qī,形容时间还远得很，不知道哪一天。
代代相传,dài dài xiāng chuán,一代接一代地相继传下去。
勇往直前,yǒng wǎng zhí qián,勇敢地一直向前进。
好景不长,hǎo jǐng bù cháng,景境况，光景；长长久。美好的光景不能永远存在。
另辟蹊径,lìng pì xī jìng,另外开辟一条路。比喻另创一种风格或方法。
朝气蓬勃,zhāo qì péng bó,朝气早上的空气，引伸为新生向上，努力进取的气象；蓬勃旺盛的样子。形容充满了生命和活力。
见怪不怪,jiàn guài bù guài,看到怪异的现象不要大惊小怪。指遇到不常见的事物或意外情况，要沉着镇静。
一劳永逸,yī láo yǒng yì,逸安逸。辛苦一次，把事情办好，以后就可以不再费力了。
目不暇接,mù bù xiá jiē,指东西多，眼睛都看不过来。
热气腾腾,rè qì téng téng,热气蒸腾的样子。形容气氛热烈或情绪高涨。
脍炙人口,kuài zhì rén kǒu,脍切细的肉；炙烤熟的肉。脍和炙都是人们爱吃的食物。指美味人人爱吃。比喻好的诗文受到人们和称赞和传讼。
牵一发而动全身,qiān yī fà ér dòng quán shēn,比喻动极小的部分就会影响全局。
无所事事,wú suǒ shì shì,事事前一事”为动词，做；后一事”为名词，事情。闲着什么事都不干。
甚嚣尘上,shèn xiāo chén shàng,甚很；嚣喧嚷。人声喧嚷，尘土飞扬。原形容军中正忙于准备的状态◇来形容消息普遍淬，议论纷纷。现多指反动言论十分嚣张。
时不我待,shí bù wǒ dài,我待待我”的倒装，等待我。时间不会等待我们。指要抓紧时间。
打成一片,dǎ chéng yī piàn,原指形成一个整体。现多形容感情融洽，成为一体。
一成不变,yī chéng bù biàn,成制定，形成。一经形成，不再改变。
怀恨在心,huái hèn zài xīn,把怨恨藏在心里。形容对人记下仇恨，以伺机报复。
总而言之,zǒng ér yán zhī,总的说起来。
支支吾吾,zhī zhī wú wú,指说话吞吞吐吐，含混躲闪。亦作支支梧梧”。
艰苦创业,jiān kǔ chuàng yè,艰难困苦地创办事业。
不务正业,bù wù zhèng yè,务从事。指丢下本职工作不做，去搞其他的事情。
身无分文,shēn wú fēn wén,形容非常贫穷。
别具一格,bié jù yī gé,别另外。另有一种独特的风格。
治病救人,zhì bìng jiù rén,治好惭人挽救过来。比喻帮助犯错误的人改正错误。
岌岌可危,jí jí kě wēi,岌岌山高陡峭，就要倒下的样子。形容非常危险，快要倾覆或灭亡。
丰功伟绩,fēng gōng wěi jì,丰大。伟大的功绩。
他山之石,tā shān zhī shí,比喻能帮助自己改正缺点的人或意见。
避重就轻,bì zhòng jiù qīng,指回避重的责任，只拣轻的来承担。也指回避要点，只谈无关紧要的事情。
按部就班,àn bù jiù bān,部、班门类，次序；就归于。按照一定的步骤、顺序进行。也指按老规矩办事，缺乏创新精神。
急转直下,jí zhuǎn zhí xià,形容形势或文笔等突然转变，并且很快地顺势发展下去。
一举两得,yī jǔ liǎng dé,做一件事得到两方面的好处。
兴高采烈,xìng gāo cǎi liè,兴原指志趣，后指兴致；采原指神采，后指精神；烈旺盛。原指文章志趣高尚，言词犀利◇多形容兴致高，精神饱满。
同心协力,tóng xīn xié lì,心思想；协合。团结一致，共同努力。
侃侃而谈,kǎn kǎn ér tán,侃侃理直气壮，从容不迫。理直气壮、从容不迫地说话。
恼羞成怒,nǎo xiū chéng nù,由于羞愧到了极点，下不了台而发怒。
天壤之别,tiān rǎng zhī bié,壤地。天和地，一极在上，一级在下，比喻差别极大。
咄咄逼人,duō duō bī rén,咄咄使人惊奇的声音。形容气势汹汹，盛气凌人，使人难堪。也指形势发展迅速，给人压力。
千篇一律,qiān piān yī lǜ,一千篇文章都一个样。指文章公式化。也比喻办事按一个格式，非常机械。
寸步难行,cùn bù nán xíng,连一步都难以进行。形容走路困难。也比喻处境艰难。
嘘寒问暖,xū hán wèn nuǎn,嘘缓缓吹气。形容对人的生活十分关切，问冷问热。
不失时机,bù shī shí jī,失耽误，错过。时机具有时间性的机会。不错过当前的机会。指办事要抓住适宜的时间和有利的机会。
直截了当,zhí jié liǎo dàng,形容说话做事爽快、干脆。
白手起家,bái shǒu qǐ jiā,白手空手；起家创建家业。形容在没有基础和条件很差的情况下自力更生，艰苦创业。
人去楼空,rén qù lóu kōng,人已离去，楼中空空。比喻故地重游时睹物思人的感慨。
置若罔闻,zhì ruò wǎng wén,置放，摆；若好象。放在一边，好象没有听见似的。指不予理睬。
瞠目结舌,chēng mù jié shé,瞪瞪着眼；结舌说不出话来。瞪着眼睛说不出话来。形容窘困或惊呆的样子。
长途跋涉,cháng tú bá shè,跋涉翻山越岭、趟水过河。指远距离的翻山渡水。形容路途遥远，行路辛苦。
有说有笑,yǒu shuō yǒu xiào,连说带笑。形容十分欢快。
严于律己,yán yú lǜ jǐ,律约束。严格地约束自己。
群策群力,qún cè qún lì,群大家，集体；策谋划，主意。指发挥集体的作用，大家一起来想办法，贡献力量。
前车之鉴,qián chē zhī jiàn,鉴镜子，为教训。前面车子翻倒的教训。比喻先前的失败，可以做为以后的教训。
一拥而上,yī yōng ér shàng,一下子全都围上去。形容周围的人同时向一个目标猛挤过去。
违法乱纪,wéi fǎ luàn jì,违犯法令，破坏纲纪。
大政方针,dà zhèng fāng zhēn,重大的政策与措施，引导事业前进的方向和指针。
痛定思痛,tòng dìng sī tòng,指悲痛的心情平静以后，再追想当时所受的痛苦。超有警惕未来之意。
始终如一,shǐ zhōng rú yī,始开始；终结束。自始自终一个样子。指能坚持，不间断。
数不胜数,shǔ bù shèng shǔ,数计算。数都数不过来。形容数量极多，很难计算。
啼笑皆非,tí xiào jiē fēi,啼哭；皆非都不是。哭也不是，笑也不是，不知如何才好。形容处境尴尬或既令人难受又令人发笑的行为。
不闻不问,bù wén bù wèn,闻听。人家说的不听，也不主动去问。形容对事情不关心。
不相上下,bù xiāng shàng xià,分不出高低好坏。形容水平相当。
自给自足,zì jǐ zì zú,给供给。依靠自己的生产，满足自己的需要。
有生之年,yǒu shēng zhī nián,一生之中最后的年月，即余年。
民以食为天,mín yǐ shí wéi tiān,天比喻赖以生存的最重要的东西。人民以粮食为自己生活所系。指民食的重要。
打草惊蛇,dǎ cǎo jīng shé,打草惊了草里的蛇。原比喻惩罚了甲而使乙有所警觉◇多比喻做法不谨慎，反使对方有所戒备。
守望相助,shǒu wàng xiāng zhù,守望防守了望。为了对付来犯的敌人或意外的灾祸，邻近各村落互相警戒，互相援助。
鼓舞人心,gǔ wǔ rén xīn,鼓舞振作，奋发。振奋人们的信心。增强人们的勇气。
三五成群,sān wǔ chéng qún,几个人、几个人在一起。
铿锵有力,kēng qiāng yǒu lì,形容声音响亮而有劲。铿镪有节奏而响亮的声音。
接踵而来,jiē zhǒng ér lái,指人们前脚跟着后脚，接连不断地来。形容来者很多，络绎不绝。
赏心悦目,shǎng xīn yuè mù,悦目看了舒服。指看到美好的景色而心情愉快。
夜以继日,yè yǐ jì rì,晚上连着白天。形容加紧工作或学习。
起早贪黑,qǐ zǎo tān hēi,起得早，睡得晚。形容辛勤劳动。
爱不释手,ài bù shì shǒu,释放下。喜爱得舍不得放手。
手足无措,shǒu zú wú cuò,措安放。手脚不知放到哪儿好。形容举动慌张，或无法应付。
一分为二,yī fēn wéi èr,哲学用语，指事物作为矛盾的统一体，都包含着相互矛盾对立的两个方面。通常指全面看待人或事物，看到积极方面，也看到消极方面。
不可多得,bù kě duō dé,形容非常稀少，很难得到（多指人才或稀有物品）。
喜出望外,xǐ chū wàng wài,望希望，意料。由于没有想到的好事而非常高兴。
何乐而不为,hé lè ér bù wéi,有什么不乐于去做的呢？表示愿意去做。
口口相传,kǒu kǒu xiāng chuán,不著文字，口头相传。
只争朝夕,zhǐ zhēng zhāo xī,朝早晨；夕晚上；朝夕形容时间短暂。比喻抓紧时间，力争在最短的时间内达到目的。
气喘吁吁,qì chuǎn xū xū,形容呼吸急促，大声喘气。
猝不及防,cù bù jí fáng,猝突然，出其不意。事情来得突然，来不及防备。
不甘示弱,bù gān shì ruò,示显示，表现。不甘心表示自己比别人差。表示要较量一下，比个高低。
亡羊补牢,wáng yáng bǔ láo,亡逃亡，丢失；牢关牲口的圈。羊逃跑了再去修补羊圈，还不算晚。比喻出了问题以后想办法补救，可以防止继续受损失。
意气风发,yì qì fēng fā,意气意志和气概；风发象风吹一样迅猛。形容精神振奋，气概豪迈。
摩拳擦掌,mó quán cā zhǎng,形容战斗或劳动之前，人们精神振奋，跃跃欲试的样子。
喜怒哀乐,xǐ nù āi lè,喜欢、恼怒、悲哀、快乐。泛指人的各种不同的感情。
千差万别,qiān chā wàn bié,形容各类多，差别大。
酸甜苦辣,suān tián kǔ là,指各种味道。比喻幸福、痛苦等各种境遇。
惟妙惟肖,wéi miào wéi xiào,描写或模仿的非常逼真。
自相矛盾,zì xiāng máo dùn,矛进攻敌人的刺击武器；盾保护自己的盾牌。比喻自己说话做事前后抵触。
中流砥柱,zhōng liú dǐ zhù,就象屹立在黄河急流中的砥柱山一样。比喻坚强独立的人能在动荡艰难的环境中起支柱作用。
真相大白,zhēn xiàng dà bái,大白彻底弄清楚。真实情况完全弄明白了。
早出晚归,zǎo chū wǎn guī,早晨出动，晚上归来。
繁荣昌盛,fán róng chāng shèng,繁荣兴旺发达；昌盛兴旺。指国家兴旺发达，欣欣向荣。
异口同声,yì kǒu tóng shēng,不同的嘴说出相同的话。指大家说得都一样。
喜气洋洋,xǐ qì yáng yáng,洋洋得意的样子。充满了欢喜的神色或气氛。
大是大非,dà shì dà fēi,指带有原则性、根本性的是非问题。
自食其力,zì shí qí lì,依靠自己的劳动所得来生活。
言传身教,yán chuán shēn jiào,言传用言语讲解、传授；身教以行动示范。既用言语来教导，又用行动来示范。指行动起模范作用。
浴血奋战,yù xuè fèn zhàn,形容顽强地拼死战斗。
大惊小怪,dà jīng xiǎo guài,形容对没有什么了不起的的事情过分惊讶。
转危为安,zhuǎn wēi wéi ān,由危险转为平安（多指局势或病情）。
见缝插针,jiàn fèng chā zhēn,比喻尽可能利用一切可以利用的空间或时间。
平易近人,píng yì jìn rén,对人和蔼可亲，没有架子，使人容易接近。也指文字浅显，容易了解。
古今中外,gǔ jīn zhōng wài,指从古代到现代，从国内到国外。泛指时间久远，空间广阔。
怨声载道,yuàn shēng zài dào,载充满。怨恨的声音充满道路。形容人民群众普遍强烈不满。
人声鼎沸,rén shēng dǐng fèi,鼎古代煮食器；沸沸腾。形容人群的声音吵吵嚷嚷，就象煮开了锅一样。
千里迢迢,qiān lǐ tiáo tiáo,迢迢遥远。形容路途遥远。
融会贯通,róng huì guàn tōng,融会融合领会；贯通贯穿前后。把各方面的知识和道理融化汇合，得到全面透彻的理解。
整装待发,zhěng zhuāng dài fā,整理好行装，等待出发。
得心应手,dé xīn yìng shǒu,得得到，想到；应反应，配合。心里怎么想，手就能怎么做。比喻技艺纯熟或做事情非常顺利。
守土有责,shǒu tǔ yǒu zé,指军人或地方官有保卫国土的责任。
破口大骂,pò kǒu dà mà,用恶语骂人。
不可磨灭,bù kě mó miè,磨灭消失。永远消失不了。指事迹言论等将始终保留在人们的记忆中。
永无止境,yǒng wú zhǐ jìng,止境尽头。永远没有到头的时候。
犹豫不决,yóu yù bù jué,犹豫迟疑。拿不定主意。
一去不复返,yī qù bù fù fǎn,一去就不再回来了。
火眼金睛,huǒ yǎn jīn jīng,原指《西游记》中孙悟空能识别妖魔鬼怪的眼睛◇用以形容人的眼光锐利，能够识别真伪。
袖手旁观,xiù shǒu páng guān,把手笼在袖子里，在一旁观看。比喻置身事外，既不过问，也不协助别人。
苦口婆心,kǔ kǒu pó xīn,苦口反复规劝；婆心仁慈的心肠。比喻善意而又耐心地劝导。
游刃有余,yóu rèn yǒu yú,刀刃运转于骨节空隙中，在有回旋的余地。比喻工作熟练，有实际经验，解决问题毫不费事。
始终不渝,shǐ zhōng bù yú,渝改变，违背。自始自终一直不变。指守信用。
发家致富,fā jiā zhì fù,发展家业，使家庭变得富裕起来。
耿耿于怀,gěng gěng yú huái,耿耿有心事的样子。不能忘怀，牵萦于心。
油然而生,yóu rán ér shēng,自然地产生（某种思想感情）。
害群之马,hài qún zhī mǎ,桅马群的劣马。比喻桅社会或集体的人。
权宜之计,quán yí zhī jì,权宜暂时适宜，变通；计计划，办法。指为了应付某种情况而暂时采取的办法。
背井离乡,bèi jǐng lí xiāng,背离开；井古制八家为井，引伸为乡里，家宅。离开家乡到外地。
支离破碎,zhī lí pò suì,支离零散，残缺。形容事物零散破碎，不完整。
皆大欢喜,jiē dà huān xǐ,皆都。人人都高兴满意。
大名鼎鼎,dà míng dǐng dǐng,鼎鼎盛大的样子。形容名气很大。
合二为一,hé èr wéi yī,指将两者合为一个整体。
风吹草动,fēng chuī cǎo dòng,风稍一吹，草就摇晃。比喻微小的变动。
依依不舍,yī yī bù shě,依依依恋的样子；舍放弃。形容舍不得离开。
秋高气爽,qiū gāo qì shuǎng,形容秋季晴空万里，天气清爽。
挺身而出,tǐng shēn ér chū,挺身撑直身体。挺直身体站出来。形容面对着艰难或危险的事情，勇敢地站出来。
掩人耳目,yǎn rén ěr mù,遮掩别人的耳朵和眼睛。比喻用假象迷惑人，欺骗人。
姗姗来迟,shān shān lái chí,姗姗形容走得缓慢从容。慢腾腾地来晚了。
实至名归,shí zhì míng guī,实实际的成就；至达到；名名誉；归到来。有了真正的学识、本领或功业，自然就有声誉。
事与愿违,shì yǔ yuàn wéi,事实与愿望相反。指原来打算做的事没能做到。
翩翩起舞,piān piān qǐ wǔ,形容轻快地跳起舞来。
名目繁多,míng mù fán duō,指事物的花样或名称非常多。
凤毛麟角,fèng máo lín jiǎo,凤凰的羽毛，麒麟的角。比喻珍贵而稀少的人或物。
忍气吞声,rěn qì tūn shēng,忍气受了气不发作；吞声不敢出声。指受了气勉强忍耐，有话不敢说出来。
耳濡目染,ěr rǔ mù rǎn,濡沾湿；染沾染。耳朵经常听到，眼睛经常看到，不知不觉地受到影响。
天伦之乐,tiān lún zhī lè,天伦旧指父子、兄弟等亲属关系。泛指家庭的乐趣。
一气呵成,yī qì hē chéng,一口气做成。形容文章结构紧凑，文气连贯。也比喻做一件事安排紧凑，迅速不间断地完成。
千载难逢,qiān zǎi nán féng,一千年里也难碰到一次。形容机会极其难得。
满目疮痍,mǎn mù chuāng yí,比喻眼前看到的都是灾祸的景象。
堆积如山,duī jī rú shān,聚集成堆，如同小山。形容极多。
一无所有,yī wú suǒ yǒu,什么也没有。指钱财，也指成绩、知识。
追根溯源,zhuī gēn sù yuán,指追溯事物发生的根源。同追本溯源”。
精神抖擞,jīng shén dǒu sǒu,抖擞振动，引伸为振作。形容精神振奋。
人心惶惶,rén xīn huáng huáng,惶惶也作皇皇”，惊惶不安的样子。人们心中惊惶不安。
朝夕相处,zhāo xī xiāng chǔ,从早到晚都在一起。形容常生活在一起，关系密切。
当仁不让,dāng rén bù ràng,原指以仁为任，无所谦让◇指遇到应该做的事就积极主动去做，不推让。
不依不饶,bù yī bù ráo,形容要求不遂就纠缠个没烷完。
设身处地,shè shēn chǔ dì,设设想。设想自己处在别人的那种境地。指替别人的处境着想。
名胜古迹,míng shèng gǔ jī,风景优美和有古代遗迹的著名地方。
焦头烂额,jiāo tóu làn é,烧焦了头，灼伤了额。比喻非常狼狈窘迫。有时也形容忙得不知如何是好，带有夸张的意思。
无缘无故,wú yuán wú gù,没有一点原因。
日积月累,rì jī yuè lěi,一天一天地、一月一月地不断积累。指长时间不断地积累。
